id,label,county,secondary_label,coord,lat,lon
1,Campus Martius-Hart Plaza,Wayne,,"42.32984179566161, -83.04550646184438",42.3298418,-83.04550646
2,Grand Circus Park,Wayne,,"42.33654414208974, -83.05055476895163",42.33654414,-83.05055477
3,Washington-Michigan,Wayne,,"42.33167414254154, -83.05099777619587",42.33167414,-83.05099778
4,Livonia-Plymouth,Wayne,I96-Newburgh,"42.38168962748655, -83.41202154522638",42.38168963,-83.41202155
5,Dearborn-I94-Michigan,Wayne,I94-Michigan,"42.326528663741506, -83.16094527206513",42.32652866,-83.16094527
6,Ypsilanti,Washtenaw,I94-Huron,"42.228800693334826, -83.6170007364353",42.22880069,-83.61700074
7,Pontiac-Franklin-Woodward,Oakland,Franklin-Woodward,"42.626356777898195, -83.28761973743646",42.62635678,-83.28761974
8,Pontiac-M59-Woodward,Oakland,M59-Woodward,"42.6401291096414, -83.28887400907222",42.64012911,-83.28887401
9,Mt. Clemens-I-94,Macomb,I94-River,"42.59227055941991, -82.8598275352625",42.59227056,-82.85982754
10,Ann Arbor-D2A2 Stop,Washtenaw,D2A2_AA_Stop,"42.27823509852339, -83.74685817569726",42.2782351,-83.74685818
11,Canton,Wayne,I275-Ford,"42.32308189577378, -83.44501252009877",42.3230819,-83.44501252
12,Michigan Central,Wayne,,"42.32878591883601, -83.07778605832145",42.32878592,-83.07778606
13,Wayne State,Wayne,Athletics_Complex,"42.3549647861956, -83.07754454249981",42.35496479,-83.07754454
14,Tech Town,Wayne,,"42.36505534357005, -83.07302275166525",42.36505534,-83.07302275
15,Dearborn-MDOT Lot,Wayne,MDOT_Lot,"42.32777748237711, -83.15811402351257",42.32777748,-83.15811402
16,I-94-Middlebelt,Wayne,,"42.2424171681763, -83.32797296107877",42.24241717,-83.41255082
17,Auburn Hills-University,Oakland,University-Squirrel,"42.67266287396625, -83.22055621942717",42.67266287,-83.22055622
18,Great Lakes Crossing Mall,Oakland,I75-Baldwin,"42.70530567902536, -83.30691635163993",42.70530568,-83.30691635
19,I-696 and I-75,Oakland,,"42.47519743356472, -83.14540286443997",42.47519743,-83.14540286
20,Brighton,Livingston,US23-I96,"42.520322727015895, -83.75609321841134",42.52032273,-83.75609322
21,United Wholesale,Oakland,Evergreen-Civic_Center,"42.480117622088564, -83.24082482655145",42.48011762,-83.24082483
22,13 Mile-Woodward,Oakland,,"42.51788584855831, -83.18619733208263",42.51788585,-83.18619733
23,Auburn Hills-Stellantis,Oakland,I75-Chrysler,"42.6565107150879, -83.23597721678533",42.65651072,-83.23597722
24,Henry Ford Hospital,Wayne,M10-Grand,"42.36707547469972, -83.08183821867112",42.36707547,-83.08183822
25,Chesterfield PnR,Macomb,23Mile-I94,"42.673604736447984, -82.81778482419297",42.67360474,-82.81778482
26,Selfridge ANGB,Macomb,Hall-I94,"42.630250734799894, -82.84964873979264",42.63025073,-82.84964874
27,Mt. Clemens,Macomb,Main-Cass,"42.596810433916936, -82.87830273061392",42.59681043,-82.87830273
28,26 Mile-I-94 PnR,Macomb,Meijer,"42.72250156113447, -82.74282513849815",42.72250156,-82.74282514
29,DTW Airport,Wayne,McNamara,"42.207600378772796, -83.35609339869104",42.20760038,-83.3560934
30,City Airport,Wayne,,"42.40924016132935, -83.00356760182548",42.40924016,-83.0035676
